api,per_page,elapsed_time,body_size
graphql,25,2.5754,139236
rest,25,1.076893,573760
graphql,5,0.912175,28708
rest,5,0.501445,119856
graphql,25,2.623245,139236
rest,25,1.113802,573760
graphql,5,0.968145,28708
rest,5,0.480536,119856
graphql,25,2.50659,139236
rest,25,1.149912,573760
graphql,5,0.873794,28708
rest,5,0.511761,119856
graphql,25,2.519972,139236
rest,25,1.233026,573760
graphql,5,0.85436,28708
rest,5,0.922169,119852
graphql,25,2.51321,139236
rest,25,1.059944,573760
graphql,5,1.917803,28708
rest,5,0.544188,119856
graphql,25,2.773039,139236
rest,25,1.07249,573760
